# Program:featureCounts v1.6.2; Command:"../tools/subread-1.6.2-Linux-x86_64/bin/featureCounts" "-p" "-T" "8" "-t" "exon" "-g" "gene_id" "-a" "../reference/s288c_e.gff" "-o" "../featurecount/counts.txt" "SRR453566.sorted.bam" "SRR453567.sorted.bam" "SRR453568.sorted.bam" "SRR453569.sorted.bam" "SRR453570.sorted.bam" "SRR453571.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566.sorted.bam	SRR453567.sorted.bam	SRR453568.sorted.bam	SRR453569.sorted.bam	SRR453570.sorted.bam	SRR453571.sorted.bam
gene_0111	NC_001134.8	22076	23536	-	1461	307	407	297	293	349	447
gene_0112	NC_001134.8	24098	24745	+	648	390	580	406	376	434	556
gene_0113	NC_001134.8	24946	28299	-	3354	468	659	485	624	855	932
gene_0114	NC_001134.8	28427	28546	+	120	13	25	7	15	17	18
gene_0115	NC_001134.8	29935	35248	+	5314	134	189	116	131	97	139
gene_0116	NC_001134.8	29935	31251	+	1317	0	0	0	0	0	0
gene_0117	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	0	0	1	0	0	0
gene_0118	NC_001134.8	37053	38690	+	1638	4227	5022	3763	6017	6996	8582
gene_0119	NC_001134.8	39145	40527	+	1383	1306	1448	1026	444	478	557
gene_0120	NC_001134.8	40831	43095	+	2265	256	339	228	129	138	196
gene_0121	NC_001134.8	43277	44089	+	813	348	407	304	230	264	310
gene_0122	NC_001134.8	44256	44918	-	663	240	274	220	217	256	404
gene_0123	NC_001134.8	45978	46370	+	393	9274	12664	9055	2642	3104	4163
gene_0124	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	77	99	64	74	91	103
gene_0125	NC_001134.8	47363	48628	-	1266	813	1195	865	462	552	675
gene_0126	NC_001134.8	48825	49358	+	534	411	458	329	253	300	402
gene_0127	NC_001134.8	49574	50953	+	1380	190	253	200	116	126	142
gene_0128	NC_001134.8	51019	59382	-	8364	477	634	457	406	550	671
gene_0129	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	3053	4267	3040	713	775	1174
gene_0130	NC_001134.8	61202	62602	-	1401	204	231	184	151	216	307
gene_0131	NC_001134.8	63876	66818	+	2943	737	1027	721	383	397	534
gene_0132	NC_001134.8	67169	69445	-	2277	215	311	245	232	322	326
gene_0133	NC_001134.8	69751	71127	-	1377	379	536	412	196	244	310
gene_0134	NC_001134.8	71866	72972	+	1107	274	378	274	108	113	123
gene_0135	NC_001134.8	73070	74695	-	1626	218	243	184	172	214	245
gene_0136	NC_001134.8	75259	79767	+	4509	1126	1543	1070	651	633	808
gene_0137	NC_001134.8	80378	80731	-	354	101	85	58	336	439	588
gene_0138	NC_001134.8	81043	84261	-	3219	4630	6506	4909	2205	2471	3345
gene_0139	NC_001134.8	84499	86448	-	1950	249	293	233	6084	14392	18270
gene_0140	NC_001134.8	86722	87789	-	1068	94	126	87	86	95	126
gene_0141	NC_001134.8	88190	88277	+	88	2	4	1	2	0	0
gene_0142	NC_001134.8	88523	89125	-	603	5535	7363	5392	1783	2062	2774
gene_0143	NC_001134.8	89458	89556	-	99	2	0	3	0	1	1
gene_0144	NC_001134.8	89978	90226	+	249	113	178	108	71	70	106
gene_0145	NC_001134.8	90223	90531	-	309	48	60	47	33	34	36
gene_0146	NC_001134.8	90741	92030	+	1290	224	347	211	138	138	214
gene_0147	NC_001134.8	92414	93394	+	981	302	407	282	140	162	235
gene_0148	NC_001134.8	93639	95882	-	2244	398	577	403	685	977	1035
gene_0149	NC_001134.8	96669	100115	-	3447	329	395	291	372	438	532
gene_0150	NC_001134.8	100371	101156	-	786	280	314	224	1178	1513	1818
gene_0151	NC_001134.8	101886	105221	+	3336	336	406	298	224	252	272
gene_0152	NC_001134.8	105316	107406	-	2091	615	804	585	264	255	341
gene_0153	NC_001134.8	107932	109995	+	2064	224	258	195	175	222	258
gene_0154	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	263	280	197	209	226	314
gene_0155	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	99	106	84	120	120	181
gene_0156	NC_001134.8	111437	112708	+	1272	970	1302	1085	782	933	1222
gene_0157	NC_001134.8	112801	113427	-	627	382	473	323	176	164	235
gene_0158	NC_001134.8	113762	115168	+	1407	1293	1669	1240	813	974	1246
gene_0159	NC_001134.8	115573	116829	-	1257	333	410	282	187	171	289
gene_0160	NC_001134.8	117589	119166	+	1578	313	352	277	218	258	331
gene_0161	NC_001134.8	119379	121874	-	2496	502	745	512	293	328	410
gene_0162	NC_001134.8	122753	124759	-	2007	640	894	689	394	430	547
gene_0163	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	500	648	460	500	589	835
gene_0164	NC_001134.8	126828	127244	+	417	43	48	35	523	654	804
gene_0165	NC_001134.8	127299	127610	+	312	20	23	11	108	129	171
gene_0166	NC_001134.8	127895	132040	-	4146	1605	2046	1464	1448	1687	1940
gene_0167	NC_001134.8	132424	133749	+	1326	307	422	319	266	263	390
gene_0168	NC_001134.8	134143	135516	-	1374	2785	3311	2601	3995	4754	5746
gene_0169	NC_001134.8	135998	136366	+	369	4	4	2	1	2	0
gene_0170	NC_001134.8	136688	137461	+	774	93	90	62	616	719	830
gene_0171	NC_001134.8	138341	140260	-	1920	574	932	740	574	497	636
gene_0172	NC_001134.8	141247	141972	+	726	859	1149	876	784	856	1105
gene_0173	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	724	1020	627	310	353	405
gene_0174	NC_001134.8	143393	143572	+	180	45	51	32	107	139	169
gene_0175	NC_001134.8	143989	145728	-	1740	1697	2430	1722	444	574	769
gene_0176	NC_001134.8	146187	146885	+	699	433	472	377	338	374	563
gene_0177	NC_001134.8	147209	150286	+	3078	335	444	328	273	329	377
gene_0178	NC_001134.8	150447	151220	-	774	475	712	502	307	365	491
gene_0179	NC_001134.8	151493	153610	-	2118	289	412	261	216	256	272
gene_0180	NC_001134.8	153848	158389	-	4542	314	421	303	305	324	399
gene_0181	NC_001134.8	158656	159693	-	1038	304	312	260	533	599	779
gene_0182	NC_001134.8	160184	161329	+	1146	609	810	575	347	343	456
gene_0183	NC_001134.8	161699	162715	+	1017	94	155	96	46	49	65
gene_0184	NC_001134.8	163041	163997	-	957	5649	6922	4952	4913	5782	7628
gene_0185	NC_001134.8	164488	164772	-	285	81	121	75	199	209	246
gene_0186	NC_001134.8	166134	167264	+	1131	129	192	122	137	175	249
gene_0187	NC_001134.8	167518	167838	-	321	481	613	389	152	194	259
gene_0188	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	7001	9440	7372	2348	3072	3814
gene_0189	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	349	437	266	208	236	349
gene_0190	NC_001134.8	171481	171918	+	438	109	132	97	78	88	127
gene_0191	NC_001134.8	172534	174588	+	2055	889	1328	1002	462	509	613
gene_0192	NC_001134.8	174920	177526	-	2607	336	561	393	280	389	482
gene_0193	NC_001134.8	177874	181275	-	3402	2318	3070	2367	1524	1776	2270
gene_0194	NC_001134.8	181660	182094	-	435	195	205	136	135	140	205
gene_0195	NC_001134.8	182401	184125	+	1725	395	621	426	274	255	385
gene_0196	NC_001134.8	184353	185915	+	1563	140	162	116	174	221	267
gene_0197	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	318	425	203	151	146	239
gene_0198	NC_001134.8	186844	191583	-	4740	1643	2254	1476	830	976	1079
gene_0199	NC_001134.8	192451	193512	+	1062	342	375	320	270	214	252
gene_0200	NC_001134.8	194122	195702	+	1581	717	790	598	2534	2818	3639
gene_0201	NC_001134.8	197494	197567	+	74	0	0	0	0	0	0
gene_0202	NC_001134.8	197629	197699	-	71	0	0	0	0	0	0
gene_0203	NC_001134.8	199064	201748	-	2685	332	439	329	178	228	278
gene_0204	NC_001134.8	202056	203261	+	1206	58	79	62	50	33	62
gene_0205	NC_001134.8	203538	205817	+	2280	827	1085	766	455	532	632
gene_0206	NC_001134.8	206107	206949	-	843	169	227	145	76	105	138
gene_0207	NC_001134.8	207194	209224	+	2031	413	549	406	287	321	384
gene_0208	NC_001134.8	209409	209648	+	240	2	1	0	2	1	0
gene_0209	NC_001134.8	209653	212175	+	2523	309	442	367	204	273	332
gene_0210	NC_001134.8	212632	216366	-	3735	1218	1705	1157	1092	1289	1503
gene_0211	NC_001134.8	216587	217129	-	543	313	404	293	211	231	375
gene_0212	NC_001134.8	217470	220400	+	2931	185	275	180	171	222	242
gene_0213	NC_001134.8	221330	226598	+	5269	59	45	40	26	21	19
gene_0214	NC_001134.8	221330	222652	+	1323	0	0	0	0	0	0
gene_0215	NC_001134.8	227075	227156	+	82	0	1	0	0	0	3
gene_0216	NC_001134.8	227636	235117	+	7482	1330	1958	1399	577	728	834
gene_0217	NC_001134.8	235394	235792	-	399	3139	4134	2700	1411	1326	1764
gene_0218	NC_001134.8	236492	236887	+	396	4269	5047	3430	2059	2081	2669
gene_0219	NC_001134.8	237153	237467	-	315	479	614	398	727	893	1150
gene_0220	NC_001134.8	238941	241283	-	2343	169	190	133	389	497	633
gene_0221	NC_001134.8	241708	242568	-	861	314	423	275	121	146	216
gene_0222	NC_001134.8	242809	244230	+	1422	478	584	429	244	330	343
gene_0223	NC_001134.8	244366	245667	-	1302	284	302	204	132	151	211
gene_0224	NC_001134.8	245906	246547	+	642	176	171	115	204	218	260
gene_0225	NC_001134.8	247010	248503	+	1494	233	255	185	441	591	832
gene_0226	NC_001134.8	248806	251016	-	2211	229	314	188	132	185	195
gene_0227	NC_001134.8	252563	254209	-	1647	205	287	230	243	336	394
gene_0228	NC_001134.8	255373	255684	-	312	3906	4427	3053	2921	3169	4141
gene_0229	NC_001134.8	256331	256741	+	411	4446	5167	3525	3247	3374	4342
gene_0230	NC_001134.8	257112	257975	-	864	4258	6329	4630	2721	3023	3857
gene_0231	NC_001134.8	259869	265140	+	5272	16	16	13	6	10	10
gene_0232	NC_001134.8	259869	261191	+	1323	0	0	0	0	0	0
gene_0233	NC_001134.8	265492	265881	-	390	40	59	36	41	44	47
gene_0234	NC_001134.8	266378	266450	+	73	0	0	1	1	0	3
gene_0235	NC_001134.8	266725	267336	-	612	350	400	267	264	322	403
gene_0236	NC_001134.8	267710	269503	-	1794	995	1518	1002	714	810	1097
gene_0237	NC_001134.8	270247	270633	+	387	317	402	293	367	374	536
gene_0238	NC_001134.8	270947	273703	-	2757	781	1210	873	458	510	608
gene_0239	NC_001134.8	274427	275527	-	1101	15	17	16	18	31	33
gene_0240	NC_001134.8	276253	278352	-	2100	68	66	61	75	90	104
gene_0241	NC_001134.8	279021	280607	+	1587	44	52	64	50	72	85
gene_0242	NC_001134.8	281443	283344	+	1902	413	559	412	309	378	402
gene_0243	NC_001134.8	283738	284271	+	534	216	274	183	122	179	242
gene_0244	NC_001134.8	284428	287925	-	3498	1187	1561	1055	673	803	908
gene_0245	NC_001134.8	289445	290350	+	906	110	162	100	177	212	281
gene_0246	NC_001134.8	290681	291865	-	1185	3617	5191	3912	1949	2893	3440
gene_0247	NC_001134.8	292877	294019	-	1143	166	191	122	1922	3151	3985
gene_0248	NC_001134.8	294024	294356	-	333	5	5	7	4	3	5
gene_0249	NC_001134.8	294425	296002	-	1578	374	518	331	252	259	364
gene_0250	NC_001134.8	296369	297742	-	1374	1229	1649	1212	697	772	908
gene_0251	NC_001134.8	298292	299950	+	1659	231	335	235	151	173	171
gene_0252	NC_001134.8	300166	301254	+	1089	5634	8078	6266	1709	1968	2460
gene_0253	NC_001134.8	301519	301821	+	303	8	18	13	7	12	16
gene_0254	NC_001134.8	301944	304703	+	2760	122	134	108	224	282	330
gene_0255	NC_001134.8	304930	305976	-	1047	768	910	692	309	403	541
gene_0256	NC_001134.8	306269	306955	-	687	778	1023	717	638	753	945
gene_0257	NC_001134.8	307185	307345	-	161	5	4	3	2	1	1
gene_0258	NC_001134.8	307587	308887	+	1301	634	922	602	177	191	259
gene_0259	NC_001134.8	309081	310313	-	1233	1350	1702	1166	1027	1084	1349
gene_0260	NC_001134.8	310565	311452	-	888	267	310	209	169	225	317
gene_0261	NC_001134.8	311898	314789	+	2892	666	897	624	460	503	585
gene_0262	NC_001134.8	315575	316510	+	936	1683	2058	1507	2145	2250	2907
gene_0263	NC_001134.8	316968	317864	+	897	2	2	4	2	7	12
gene_0264	NC_001134.8	318266	320275	+	2010	662	831	556	238	277	346
gene_0265	NC_001134.8	320416	321609	-	1194	394	554	368	131	162	221
gene_0266	NC_001134.8	321876	323945	-	2070	388	494	367	510	599	782
gene_0267	NC_001134.8	324341	326059	-	1719	367	514	333	235	260	352
gene_0268	NC_001134.8	326792	326865	-	74	0	0	0	0	1	1
gene_0269	NC_001134.8	328173	330092	-	1920	83	92	73	169	191	211
gene_0270	NC_001134.8	330507	331511	-	1005	100	92	66	856	1010	1317
gene_0271	NC_001134.8	331833	332360	+	528	33	32	19	115	199	195
gene_0272	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	4842	6640	5116	1392	1559	2017
gene_0273	NC_001134.8	334386	336818	-	2433	804	1065	833	543	672	866
gene_0274	NC_001134.8	337183	338199	-	1017	33	20	17	255	199	175
gene_0275	NC_001134.8	338720	339352	-	633	402	502	353	319	315	414
gene_0276	NC_001134.8	339675	340751	-	1077	200	232	143	482	591	713
gene_0277	NC_001134.8	343101	344135	+	1035	270	192	143	3837	8054	9072
gene_0278	NC_001134.8	344602	347301	-	2700	363	528	380	229	249	311
gene_0279	NC_001134.8	347603	347686	+	84	1	0	1	1	0	0
gene_0280	NC_001134.8	347879	349384	+	1506	306	276	205	635	875	1175
gene_0281	NC_001134.8	350827	350898	+	72	1	0	1	1	2	5
gene_0282	NC_001134.8	351255	351455	+	201	132	48	32	65	46	88
gene_0283	NC_001134.8	352193	353293	-	1101	265	301	260	306	384	520
gene_0284	NC_001134.8	353672	356017	-	2346	479	703	493	507	595	716
gene_0285	NC_001134.8	356324	356566	-	243	630	807	448	318	396	544
gene_0286	NC_001134.8	356861	360187	-	3327	553	742	557	562	663	847
gene_0287	NC_001134.8	360652	362514	-	1863	309	435	282	238	221	251
gene_0288	NC_001134.8	364787	365719	-	933	292	397	307	135	200	241
gene_0289	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	238	303	229	260	399	476
gene_0290	NC_001134.8	366970	368184	-	1215	199	256	187	162	208	254
gene_0291	NC_001134.8	368584	369678	-	1095	158	220	178	127	134	192
gene_0292	NC_001134.8	370037	370699	-	663	187	203	154	187	251	314
gene_0293	NC_001134.8	372103	372735	-	633	136	109	96	9149	11188	12727
gene_0294	NC_001134.8	373861	375690	-	1830	226	218	166	1354	1727	2302
gene_0295	NC_001134.8	376574	378433	-	1860	77	86	72	97	70	90
gene_0296	NC_001134.8	379221	379934	-	714	218	271	196	129	158	204
gene_0297	NC_001134.8	380411	381046	+	636	379	439	293	565	682	905
gene_0298	NC_001134.8	382030	382674	+	645	171	181	109	21172	45202	57814
gene_0299	NC_001134.8	382860	383021	-	162	1	1	1	3	2	8
gene_0300	NC_001134.8	383112	385988	+	2877	859	1149	863	551	608	826
gene_0301	NC_001134.8	386286	389216	+	2931	754	1161	786	368	449	534
gene_0302	NC_001134.8	390227	391291	+	1065	15	21	5	30	55	58
gene_0303	NC_001134.8	391805	392293	-	489	240	290	234	190	205	248
gene_0304	NC_001134.8;NC_001134.8	393123;393511	393180;394742	+;+	1290	7203	9704	6838	3620	4123	4732
gene_0305	NC_001134.8	395383	398277	-	2895	2382	3518	2681	1123	1278	1697
gene_0306	NC_001134.8	398614	400890	-	2277	635	932	615	490	590	690
gene_0307	NC_001134.8	401253	405251	-	3999	635	918	653	521	683	847
gene_0308	NC_001134.8	405878	405949	+	72	0	0	0	4	3	1
gene_0309	NC_001134.8	405960	406031	+	72	0	0	0	0	0	0
gene_0310	NC_001134.8;NC_001134.8	406628;407123	407027;407169	-;-	447	1562	2041	1504	599	729	948
gene_0311	NC_001134.8	409169	410629	+	1461	426	504	380	374	347	411
gene_0312	NC_001134.8	411054	413981	+	2928	2357	3141	2452	629	680	937
gene_0313	NC_001134.8;NC_001134.8	414186;415260	414753;415261	-;-	570	5413	7352	5619	1948	2432	3167
gene_0314	NC_001134.8	415983	416906	+	924	50	76	64	5	2	6
gene_0315	NC_001134.8	418907	419164	-	258	689	533	320	2813	4146	4982
gene_0316	NC_001134.8	420201	423041	-	2841	1382	1926	1288	858	1125	1313
gene_0317	NC_001134.8	423765	424829	+	1065	320	438	312	206	238	275
gene_0318	NC_001134.8	424990	425766	-	777	603	798	603	420	448	577
gene_0319	NC_001134.8	426190	426489	-	300	195	288	191	259	366	425
gene_0320	NC_001134.8;NC_001134.8	426333;426874	426516;427058	-;-	369	7	6	6	3	6	7
gene_0321	NC_001134.8	427155	427484	-	330	156	161	119	56	77	91
gene_0322	NC_001134.8	427698	429101	-	1404	69	67	63	46	72	99
gene_0323	NC_001134.8	429548	430951	-	1404	17	20	18	12	23	32
gene_0324	NC_001134.8	432036	434297	+	2262	370	510	410	427	553	655
gene_0325	NC_001134.8	434406	435698	-	1293	218	295	203	194	248	342
gene_0326	NC_001134.8	436021	436713	+	693	448	700	410	179	152	252
gene_0327	NC_001134.8	436951	441315	+	4365	221	343	247	228	269	315
gene_0328	NC_001134.8	441515	443590	+	2076	163	214	141	214	280	368
gene_0329	NC_001134.8	443821	444693	-	873	793	1022	699	1080	1556	2019
gene_0330	NC_001134.8	445062	447323	-	2262	362	541	379	295	336	426
gene_0331	NC_001134.8	447709	449316	+	1608	357	410	320	295	335	425
gene_0332	NC_001134.8	449667	450656	+	990	696	885	614	140	162	235
gene_0333	NC_001134.8	450881	451969	-	1089	214	250	159	166	170	280
gene_0334	NC_001134.8	452658	453224	+	567	4093	5764	3778	1292	1384	1977
gene_0335	NC_001134.8	453793	454530	-	738	173	209	135	114	99	142
gene_0336	NC_001134.8	454822	457665	+	2844	262	360	232	313	391	468
gene_0337	NC_001134.8	457919	458362	-	444	935	1186	882	836	1028	1332
gene_0338	NC_001134.8	458872	460221	+	1350	463	668	427	376	369	471
gene_0339	NC_001134.8	461178	461873	-	696	396	548	362	403	544	706
gene_0340	NC_001134.8;NC_001134.8;NC_001134.8	462139;462290;462500	462209;462429;462579	+;+;+	291	198	208	139	136	177	266
gene_0341	NC_001134.8	462870	465770	-	2901	1009	1344	1052	783	848	1069
gene_0342	NC_001134.8	467248	469620	+	2373	201	252	180	174	231	294
gene_0343	NC_001134.8	469748	473926	-	4179	4019	6085	4736	1838	2135	2835
gene_0344	NC_001134.8	474392	476437	-	2046	98	113	85	2195	3617	4015
gene_0345	NC_001134.8	477671	479047	+	1377	13864	19255	15028	9994	13762	18007
gene_0346	NC_001134.8;NC_001134.8	479338;479435	479345;480323	+;+	897	180	183	136	251	298	457
